"filename", "language", "JavaScript", "JSON", "HTML", "CSS", "Markdown", "comment", "blank", "total"
"c:\Users\ugniu\OneDrive\Documents\Portfolio\Bakalauras\administravimosistema\client\README.md", "Markdown", 0, 0, 0, 0, 38, 0, 33, 71
"c:\Users\ugniu\OneDrive\Documents\Portfolio\Bakalauras\administravimosistema\client\package-lock.json", "JSON", 0, 17262, 0, 0, 0, 0, 1, 17263
"c:\Users\ugniu\OneDrive\Documents\Portfolio\Bakalauras\administravimosistema\client\package.json", "JSON", 0, 57, 0, 0, 0, 0, 1, 58
"c:\Users\ugniu\OneDrive\Documents\Portfolio\Bakalauras\administravimosistema\client\public\index.html", "HTML", 0, 0, 23, 0, 0, 23, 1, 47
"c:\Users\ugniu\OneDrive\Documents\Portfolio\Bakalauras\administravimosistema\client\public\manifest.json", "JSON", 0, 25, 0, 0, 0, 0, 1, 26
"c:\Users\ugniu\OneDrive\Documents\Portfolio\Bakalauras\administravimosistema\client\src\actions\auth\index.js", "JavaScript", 37, 0, 0, 0, 0, 9, 10, 56
"c:\Users\ugniu\OneDrive\Documents\Portfolio\Bakalauras\administravimosistema\client\src\actions\auth\types.js", "JavaScript", 5, 0, 0, 0, 0, 0, 1, 6
"c:\Users\ugniu\OneDrive\Documents\Portfolio\Bakalauras\administravimosistema\client\src\actions\messageGroups\index.js", "JavaScript", 32, 0, 0, 0, 0, 1, 10, 43
"c:\Users\ugniu\OneDrive\Documents\Portfolio\Bakalauras\administravimosistema\client\src\actions\messageGroups\types.js", "JavaScript", 5, 0, 0, 0, 0, 0, 0, 5
"c:\Users\ugniu\OneDrive\Documents\Portfolio\Bakalauras\administravimosistema\client\src\actions\scheduledMessages\index.js", "JavaScript", 32, 0, 0, 0, 0, 1, 10, 43
"c:\Users\ugniu\OneDrive\Documents\Portfolio\Bakalauras\administravimosistema\client\src\actions\scheduledMessages\types.js", "JavaScript", 5, 0, 0, 0, 0, 0, 0, 5
"c:\Users\ugniu\OneDrive\Documents\Portfolio\Bakalauras\administravimosistema\client\src\actions\users\index.js", "JavaScript", 72, 0, 0, 0, 0, 7, 15, 94
"c:\Users\ugniu\OneDrive\Documents\Portfolio\Bakalauras\administravimosistema\client\src\actions\users\types.js", "JavaScript", 7, 0, 0, 0, 0, 0, 1, 8
"c:\Users\ugniu\OneDrive\Documents\Portfolio\Bakalauras\administravimosistema\client\src\apis\auth.js", "JavaScript", 4, 0, 0, 0, 0, 0, 1, 5
"c:\Users\ugniu\OneDrive\Documents\Portfolio\Bakalauras\administravimosistema\client\src\apis\messageGroups.js", "JavaScript", 4, 0, 0, 0, 0, 0, 1, 5
"c:\Users\ugniu\OneDrive\Documents\Portfolio\Bakalauras\administravimosistema\client\src\apis\paypallPay.js", "JavaScript", 4, 0, 0, 0, 0, 0, 1, 5
"c:\Users\ugniu\OneDrive\Documents\Portfolio\Bakalauras\administravimosistema\client\src\apis\scheduledMessages.js", "JavaScript", 4, 0, 0, 0, 0, 0, 1, 5
"c:\Users\ugniu\OneDrive\Documents\Portfolio\Bakalauras\administravimosistema\client\src\apis\users.js", "JavaScript", 4, 0, 0, 0, 0, 0, 1, 5
"c:\Users\ugniu\OneDrive\Documents\Portfolio\Bakalauras\administravimosistema\client\src\components\App.js", "JavaScript", 43, 0, 0, 0, 0, 0, 4, 47
"c:\Users\ugniu\OneDrive\Documents\Portfolio\Bakalauras\administravimosistema\client\src\components\BasicModal.js", "JavaScript", 27, 0, 0, 0, 0, 0, 5, 32
"c:\Users\ugniu\OneDrive\Documents\Portfolio\Bakalauras\administravimosistema\client\src\components\DatePicker.js", "JavaScript", 9, 0, 0, 0, 0, 0, 3, 12
"c:\Users\ugniu\OneDrive\Documents\Portfolio\Bakalauras\administravimosistema\client\src\components\DropdownButton.js", "JavaScript", 16, 0, 0, 0, 0, 1, 3, 20
"c:\Users\ugniu\OneDrive\Documents\Portfolio\Bakalauras\administravimosistema\client\src\components\Filter.js", "JavaScript", 17, 0, 0, 0, 0, 1, 3, 21
"c:\Users\ugniu\OneDrive\Documents\Portfolio\Bakalauras\administravimosistema\client\src\components\GlobalStyles.css", "CSS", 0, 0, 0, 111, 0, 7, 23, 141
"c:\Users\ugniu\OneDrive\Documents\Portfolio\Bakalauras\administravimosistema\client\src\components\GoogleAuth.js", "JavaScript", 59, 0, 0, 0, 0, 0, 10, 69
"c:\Users\ugniu\OneDrive\Documents\Portfolio\Bakalauras\administravimosistema\client\src\components\Header.js", "JavaScript", 54, 0, 0, 0, 0, 0, 5, 59
"c:\Users\ugniu\OneDrive\Documents\Portfolio\Bakalauras\administravimosistema\client\src\components\Login.js", "JavaScript", 28, 0, 0, 0, 0, 1, 4, 33
"c:\Users\ugniu\OneDrive\Documents\Portfolio\Bakalauras\administravimosistema\client\src\components\LoginForm.js", "JavaScript", 70, 0, 0, 0, 0, 0, 8, 78
"c:\Users\ugniu\OneDrive\Documents\Portfolio\Bakalauras\administravimosistema\client\src\components\Modal.js", "JavaScript", 20, 0, 0, 0, 0, 0, 2, 22
"c:\Users\ugniu\OneDrive\Documents\Portfolio\Bakalauras\administravimosistema\client\src\components\messages\MessageGroupCreate.js", "JavaScript", 42, 0, 0, 0, 0, 0, 6, 48
"c:\Users\ugniu\OneDrive\Documents\Portfolio\Bakalauras\administravimosistema\client\src\components\messages\MessageGroupDelete.js", "JavaScript", 43, 0, 0, 0, 0, 0, 7, 50
"c:\Users\ugniu\OneDrive\Documents\Portfolio\Bakalauras\administravimosistema\client\src\components\messages\MessageGroupEdit.js", "JavaScript", 49, 0, 0, 0, 0, 0, 7, 56
"c:\Users\ugniu\OneDrive\Documents\Portfolio\Bakalauras\administravimosistema\client\src\components\messages\MessageGroupForm.js", "JavaScript", 100, 0, 0, 0, 0, 0, 14, 114
"c:\Users\ugniu\OneDrive\Documents\Portfolio\Bakalauras\administravimosistema\client\src\components\messages\MessageGroupItem.js", "JavaScript", 7, 0, 0, 0, 0, 0, 2, 9
"c:\Users\ugniu\OneDrive\Documents\Portfolio\Bakalauras\administravimosistema\client\src\components\messages\MessageGroupList.js", "JavaScript", 100, 0, 0, 0, 0, 0, 6, 106
"c:\Users\ugniu\OneDrive\Documents\Portfolio\Bakalauras\administravimosistema\client\src\components\messages\MessagesPage.js", "JavaScript", 35, 0, 0, 0, 0, 0, 3, 38
"c:\Users\ugniu\OneDrive\Documents\Portfolio\Bakalauras\administravimosistema\client\src\components\messages\ScheduledMessage.js", "JavaScript", 7, 0, 0, 0, 0, 0, 2, 9
"c:\Users\ugniu\OneDrive\Documents\Portfolio\Bakalauras\administravimosistema\client\src\components\messages\ScheduledMessageCreate.js", "JavaScript", 35, 0, 0, 0, 0, 0, 5, 40
"c:\Users\ugniu\OneDrive\Documents\Portfolio\Bakalauras\administravimosistema\client\src\components\messages\ScheduledMessageDelete.js", "JavaScript", 43, 0, 0, 0, 0, 0, 7, 50
"c:\Users\ugniu\OneDrive\Documents\Portfolio\Bakalauras\administravimosistema\client\src\components\messages\ScheduledMessageEdit.js", "JavaScript", 47, 0, 0, 0, 0, 0, 7, 54
"c:\Users\ugniu\OneDrive\Documents\Portfolio\Bakalauras\administravimosistema\client\src\components\messages\ScheduledMessageForm.js", "JavaScript", 101, 0, 0, 0, 0, 1, 14, 116
"c:\Users\ugniu\OneDrive\Documents\Portfolio\Bakalauras\administravimosistema\client\src\components\messages\ScheduledMessageList.js", "JavaScript", 109, 0, 0, 0, 0, 0, 8, 117
"c:\Users\ugniu\OneDrive\Documents\Portfolio\Bakalauras\administravimosistema\client\src\components\paypal.js", "JavaScript", 5, 0, 0, 0, 0, 0, 2, 7
"c:\Users\ugniu\OneDrive\Documents\Portfolio\Bakalauras\administravimosistema\client\src\components\users\UserCreate.js", "JavaScript", 41, 0, 0, 0, 0, 0, 4, 45
"c:\Users\ugniu\OneDrive\Documents\Portfolio\Bakalauras\administravimosistema\client\src\components\users\UserDelete.js", "JavaScript", 43, 0, 0, 0, 0, 0, 8, 51
"c:\Users\ugniu\OneDrive\Documents\Portfolio\Bakalauras\administravimosistema\client\src\components\users\UserEdit.js", "JavaScript", 47, 0, 0, 0, 0, 0, 8, 55
"c:\Users\ugniu\OneDrive\Documents\Portfolio\Bakalauras\administravimosistema\client\src\components\users\UserExtendSubscription.js", "JavaScript", 50, 0, 0, 0, 0, 0, 6, 56
"c:\Users\ugniu\OneDrive\Documents\Portfolio\Bakalauras\administravimosistema\client\src\components\users\UserForm.js", "JavaScript", 119, 0, 0, 0, 0, 3, 10, 132
"c:\Users\ugniu\OneDrive\Documents\Portfolio\Bakalauras\administravimosistema\client\src\components\users\UserList.js", "JavaScript", 366, 0, 0, 0, 0, 2, 16, 384
"c:\Users\ugniu\OneDrive\Documents\Portfolio\Bakalauras\administravimosistema\client\src\components\users\UserMessageSend.js", "JavaScript", 56, 0, 0, 0, 0, 3, 7, 66
"c:\Users\ugniu\OneDrive\Documents\Portfolio\Bakalauras\administravimosistema\client\src\components\users\UserProfileForm.js", "JavaScript", 77, 0, 0, 0, 0, 3, 10, 90
"c:\Users\ugniu\OneDrive\Documents\Portfolio\Bakalauras\administravimosistema\client\src\components\users\UserShow.js", "JavaScript", 215, 0, 0, 0, 0, 0, 14, 229
"c:\Users\ugniu\OneDrive\Documents\Portfolio\Bakalauras\administravimosistema\client\src\components\users\UserSummary.js", "JavaScript", 14, 0, 0, 0, 0, 0, 2, 16
"c:\Users\ugniu\OneDrive\Documents\Portfolio\Bakalauras\administravimosistema\client\src\history.js", "JavaScript", 2, 0, 0, 0, 0, 0, 0, 2
"c:\Users\ugniu\OneDrive\Documents\Portfolio\Bakalauras\administravimosistema\client\src\index.js", "JavaScript", 18, 0, 0, 0, 0, 0, 4, 22
